fSalesPrimaryKey,ProductID,SalesRepID,Location,Date,Units,PercentOfStandardCost,RevenueDiscount
36943,10,7,Germany;Frankfurt,1.10.2017,60,0.99,0.35
38346,10,3,Czech republic;Ostrava,29.1.2017,74,0.969,0.35
38347,11,2,Denmark;Copenhagen,9.12.2017,62,0.997,0.35
38348,2,4,Germany;Frankfurt,6.5.2017,31,0.976,0.25
38349,2,7,Germany;Frankfurt,30.6.2017,86,0.978,0.4
38350,4,3,Czech republic;Brno,4.3.2017,39,0.964,0.25
38351,11,1,Czech republic;Prague,13.8.2017,73,0.982,0.35
38352,8,5,Germany;Berlin,3.10.2017,95,0.989,0.4
38353,5,4,Germany;Frankfurt,31.7.2017,39,0.982,0.25
38354,2,6,Germany;Dresden,7.11.2017,118,0.993,0.5
38355,10,3,Czech republic;Ostrava,14.1.2017,26,0.955,0.25
38356,11,7,Germany;Frankfurt,12.7.2017,47,0.979,0.25
38357,5,7,Germany;Frankfurt,9.2.2017,190,0.96,0.6
38358,8,7,Germany;Frankfurt,28.1.2017,44,0.967,0.25
38359,10,5,Germany;Berlin,23.9.2017,32,0.989,0.25
38360,11,5,Germany;Berlin,24.4.2017,66,0.975,0.35
38361,3,2,Denmark;Copenhagen,21.4.2017,34,0.976,0.25
38362,7,3,Czech republic;Ostrava,11.1.2017,70,0.967,0.35
38363,1,6,Germany;Dresden,1.2.2017,168,0.967,0.55
38364,7,4,Germany;Frankfurt,29.1.2017,34,0.969,0.25
38365,8,2,Denmark;Copenhagen,7.7.2017,79,0.984,0.4
38366,1,4,Germany;Frankfurt,19.8.2017,59,0.985,0.35
38367,4,5,Germany;Berlin,6.12.2017,95,0.997,0.4
38368,5,5,Germany;Berlin,4.2.2017,47,0.964,0.25
38369,2,5,Germany;Berlin,25.10.2017,43,0.991,0.25
38370,2,2,Denmark;Copenhagen,1.1.2017,76,0.954,0.4
38371,7,5,Germany;Berlin,9.8.2017,18,0.984,0.05
38372,1,5,Germany;Berlin,18.8.2017,46,0.985,0.25
38373,5,1,Czech republic;Prague,4.7.2017,61,0.98,0.35
38374,7,6,Germany;Dresden,27.6.2017,2,0.98,0
38375,5,7,Germany;Frankfurt,5.10.2017,80,0.989,0.4
38376,5,4,Germany;Frankfurt,8.2.2017,108,0.96,0.5
38377,6,2,Denmark;Copenhagen,16.8.2017,47,0.986,0.25
38378,7,2,Denmark;Copenhagen,29.12.2017,27,0.999,0.25
38379,5,4,Germany;Frankfurt,21.3.2017,70,0.973,0.35
38380,7,2,Denmark;Copenhagen,7.2.2017,31,0.963,0.25
38381,5,7,Germany;Frankfurt,4.1.2017,171,0.955,0.55
38382,10,1,Czech republic;Prague,20.10.2017,44,0.991,0.25
38383,2,4,Germany;Frankfurt,1.4.2017,85,0.971,0.4
38384,4,1,Czech republic;Prague,12.6.2017,66,0.981,0.35
38385,1,7,Germany;Frankfurt,25.9.2017,74,0.989,0.35
38386,2,2,Denmark;Copenhagen,4.11.2017,30,0.993,0.25
38387,7,5,Germany;Berlin,4.1.2017,77,0.955,0.4
38388,5,4,Germany;Frankfurt,2.11.2017,82,0.994,0.4
38389,9,2,Denmark;Copenhagen,14.6.2017,41,0.98,0.25
38390,8,2,Denmark;Copenhagen,20.2.2017,25,0.971,0.25
38391,8,1,Czech republic;Prague,12.1.2017,23,0.962,0.2
38392,3,3,Czech republic;Brno,24.1.2017,63,0.962,0.35
38393,7,3,Czech republic;Ostrava,22.7.2017,71,0.984,0.35
38394,10,2,Denmark;Copenhagen,13.10.2017,193,0.991,0.6
38395,9,7,Germany;Frankfurt,30.7.2017,41,0.984,0.25
38396,8,4,Germany;Frankfurt,26.7.2017,57,0.98,0.35
38397,1,7,Germany;Frankfurt,14.12.2017,30,0.998,0.25
38398,6,1,Czech republic;Prague,15.2.2017,48,0.96,0.25
38399,2,2,Denmark;Copenhagen,25.9.2017,50,0.989,0.35
38400,4,1,Czech republic;Prague,12.7.2017,89,0.979,0.4
38401,5,4,Germany;Frankfurt,14.3.2017,31,0.964,0.25
38402,9,7,Germany;Frankfurt,27.8.2017,123,0.986,0.5
38403,5,5,Germany;Berlin,2.2.2017,78,0.961,0.4
38404,4,3,Czech republic;Brno,3.1.2017,128,0.966,0.5
38405,5,5,Germany;Berlin,21.6.2017,32,0.98,0.25
38406,11,2,Denmark;Copenhagen,22.4.2017,120,0.976,0.5
38407,7,1,Czech republic;Prague,1.5.2017,84,0.971,0.4
38408,5,6,Germany;Dresden,30.3.2017,93,0.97,0.4
38409,4,5,Germany;Berlin,6.12.2017,37,0.997,0.25
38410,3,5,Germany;Berlin,25.3.2017,79,0.966,0.4
38411,11,2,Denmark;Copenhagen,8.11.2017,45,0.993,0.25
38412,8,3,Czech republic;Ostrava,6.10.2017,35,0.99,0.25
38413,1,6,Germany;Dresden,27.8.2017,94,0.986,0.4
38414,7,3,Czech republic;Ostrava,3.5.2017,184,0.972,0.6
38415,5,3,Czech republic;Brno,13.11.2017,72,0.995,0.35
38416,7,6,Germany;Dresden,1.1.2017,107,0.954,0.5
38417,11,1,Czech republic;Prague,24.9.2017,21,0.99,0.2
38418,1,5,Germany;Berlin,27.11.2017,37,0.996,0.25
38419,10,1,Czech republic;Prague,29.8.2017,4,0.988,0
38420,6,3,Czech republic;Brno,16.11.2017,84,0.994,0.4
38421,3,4,Germany;Frankfurt,10.6.2017,90,0.981,0.4
38422,10,1,Czech republic;Prague,12.8.2017,185,0.983,0.6
38423,8,7,Germany;Frankfurt,7.9.2017,77,0.986,0.4
38424,4,7,Germany;Frankfurt,7.3.2017,52,0.97,0.35
38425,6,6,Germany;Dresden,7.1.2017,28,0.961,0.25
38426,8,3,Czech republic;Ostrava,28.1.2017,143,0.967,0.5
38427,2,1,Czech republic;Prague,20.8.2017,49,0.984,0.25
38428,5,7,Germany;Frankfurt,16.5.2017,75,0.973,0.4
38429,9,2,Denmark;Copenhagen,15.4.2017,122,0.974,0.5
38430,2,2,Denmark;Copenhagen,1.5.2017,99,0.971,0.4
38431,11,2,Denmark;Copenhagen,9.6.2017,45,0.981,0.25
38432,4,6,Germany;Dresden,27.10.2017,61,0.991,0.35
38433,1,6,Germany;Dresden,6.4.2017,183,0.969,0.6
38434,9,5,Germany;Berlin,7.12.2017,3,0.997,0
38435,11,4,Germany;Frankfurt,20.12.2017,65,0.998,0.35
38436,3,3,Czech republic;Brno,22.6.2017,6,0.98,0
38437,11,1,Czech republic;Prague,12.12.2017,138,0.998,0.5
38438,2,1,Czech republic;Prague,3.5.2017,85,0.972,0.4
38439,9,6,Germany;Dresden,14.1.2017,31,0.955,0.25
38440,8,1,Czech republic;Prague,24.10.2017,61,0.993,0.35
38441,1,5,Germany;Berlin,9.4.2017,56,0.974,0.35
38442,8,5,Germany;Berlin,21.10.2017,180,0.991,0.6
38443,4,4,Germany;Frankfurt,13.11.2017,44,0.995,0.25
38444,4,1,Czech republic;Prague,21.8.2017,94,0.987,0.4
38445,11,5,Germany;Berlin,17.8.2017,12,0.984,0.05
38446,1,2,Denmark;Copenhagen,7.7.2017,89,0.984,0.4
38447,2,6,Germany;Dresden,3.12.2017,175,0.997,0.6
38448,11,1,Czech republic;Prague,28.3.2017,65,0.974,0.35
38449,9,2,Denmark;Copenhagen,15.6.2017,118,0.978,0.5
38450,5,5,Germany;Berlin,2.8.2017,112,0.985,0.5
38451,8,7,Germany;Frankfurt,18.2.2017,103,0.969,0.5
38452,9,5,Germany;Berlin,15.11.2017,176,0.995,0.6
38453,5,2,Denmark;Copenhagen,24.2.2017,44,0.971,0.25
38454,7,1,Czech republic;Prague,7.6.2017,66,0.977,0.35
38455,11,6,Germany;Dresden,4.11.2017,28,0.993,0.25
38456,7,7,Germany;Frankfurt,25.1.2017,21,0.967,0.2
38457,7,6,Germany;Dresden,13.1.2017,28,0.955,0.25
38458,11,6,Germany;Dresden,26.5.2017,76,0.979,0.4
38459,9,1,Czech republic;Prague,17.8.2017,47,0.984,0.25
38460,8,7,Germany;Frankfurt,17.5.2017,69,0.972,0.35
38461,5,5,Germany;Berlin,10.6.2017,36,0.981,0.25
38462,3,5,Germany;Berlin,29.6.2017,59,0.978,0.35
38463,11,7,Germany;Frankfurt,30.1.2017,33,0.966,0.25
38464,5,2,Denmark;Copenhagen,28.4.2017,1,0.973,0
38465,7,6,Germany;Dresden,20.7.2017,96,0.984,0.4
38466,1,5,Germany;Berlin,12.1.2017,35,0.962,0.25
38467,8,2,Denmark;Copenhagen,19.7.2017,85,0.984,0.4
38468,2,4,Germany;Frankfurt,13.9.2017,96,0.99,0.4
38469,4,4,Germany;Frankfurt,23.12.2017,137,0.999,0.5
38470,1,2,Denmark;Copenhagen,15.8.2017,70,0.984,0.35
38471,5,6,Germany;Dresden,12.12.2017,89,0.998,0.4
38472,4,7,Germany;Frankfurt,24.3.2017,38,0.972,0.25
38473,9,7,Germany;Frankfurt,11.5.2017,45,0.977,0.25
38474,9,2,Denmark;Copenhagen,11.12.2017,76,0.997,0.4
38475,4,4,Germany;Frankfurt,27.3.2017,13,0.97,0.05
38476,4,5,Germany;Berlin,31.1.2017,50,0.959,0.35
38477,10,7,Germany;Frankfurt,8.4.2017,26,0.974,0.25
38478,11,5,Germany;Berlin,22.4.2017,48,0.976,0.25
38479,4,2,Denmark;Copenhagen,11.11.2017,41,0.993,0.25
38480,7,2,Denmark;Copenhagen,6.11.2017,66,0.994,0.35
38481,6,2,Denmark;Copenhagen,6.4.2017,52,0.969,0.35
38482,10,2,Denmark;Copenhagen,6.8.2017,27,0.982,0.25
38483,7,6,Germany;Dresden,27.4.2017,97,0.976,0.4
38484,9,6,Germany;Dresden,18.4.2017,28,0.975,0.25
38485,9,2,Denmark;Copenhagen,1.1.2017,158,0.954,0.55
38486,6,7,Germany;Frankfurt,27.3.2017,41,0.97,0.25
38487,8,3,Czech republic;Ostrava,23.10.2017,76,0.993,0.4
38488,4,2,Denmark;Copenhagen,14.4.2017,48,0.972,0.25
38489,9,2,Denmark;Copenhagen,14.7.2017,85,0.981,0.4
38490,4,6,Germany;Dresden,8.12.2017,78,0.997,0.4
38491,5,3,Czech republic;Brno,1.12.2017,77,0.995,0.4
38492,10,1,Czech republic;Prague,16.2.2017,182,0.97,0.6
38493,8,1,Czech republic;Prague,1.11.2017,61,0.992,0.35
38494,3,1,Czech republic;Prague,17.2.2017,38,0.965,0.25
38495,8,5,Germany;Berlin,30.9.2017,47,0.988,0.25
38496,2,1,Czech republic;Prague,28.8.2017,101,0.984,0.5
38497,7,4,Germany;Frankfurt,27.2.2017,62,0.969,0.35
38498,3,6,Germany;Dresden,4.3.2017,84,0.964,0.4
38499,6,1,Czech republic;Prague,18.3.2017,63,0.97,0.35
38500,2,6,Germany;Dresden,13.6.2017,72,0.976,0.35
38501,1,4,Germany;Frankfurt,10.12.2017,111,0.997,0.5
38502,5,6,Germany;Dresden,31.12.2017,42,0.999,0.25
38503,2,5,Germany;Berlin,22.9.2017,38,0.989,0.25
38504,8,3,Czech republic;Ostrava,6.5.2017,86,0.976,0.4
38505,3,6,Germany;Dresden,19.10.2017,32,0.992,0.25
38506,2,1,Czech republic;Prague,9.12.2017,79,0.997,0.4
38507,4,3,Czech republic;Brno,5.5.2017,30,0.974,0.25
38508,2,6,Germany;Dresden,5.7.2017,27,0.984,0.25
38509,7,4,Germany;Frankfurt,29.6.2017,25,0.978,0.25
38510,4,1,Czech republic;Prague,28.9.2017,25,0.988,0.25
38511,8,4,Germany;Frankfurt,31.3.2017,106,0.971,0.5
38512,6,7,Germany;Frankfurt,1.9.2017,32,0.987,0.25
38513,1,7,Germany;Frankfurt,5.6.2017,80,0.978,0.4
38514,2,7,Germany;Frankfurt,28.12.2017,45,0.999,0.25
38515,4,7,Germany;Frankfurt,18.1.2017,141,0.966,0.5
38516,8,3,Czech republic;Ostrava,19.4.2017,47,0.976,0.25
38517,7,5,Germany;Berlin,27.11.2017,34,0.996,0.25
38518,11,6,Germany;Dresden,7.5.2017,49,0.977,0.25
38519,4,1,Czech republic;Prague,10.9.2017,72,0.988,0.35
38520,5,7,Germany;Frankfurt,15.11.2017,47,0.995,0.25
38521,10,1,Czech republic;Prague,15.6.2017,35,0.978,0.25
38522,6,7,Germany;Frankfurt,2.6.2017,96,0.974,0.4
38523,9,2,Denmark;Copenhagen,29.7.2017,87,0.984,0.4
38524,5,7,Germany;Frankfurt,26.4.2017,67,0.972,0.35
38525,11,3,Czech republic;Ostrava,27.12.2017,54,0.999,0.35
38526,2,1,Czech republic;Prague,31.3.2017,107,0.971,0.5
38527,4,2,Denmark;Copenhagen,8.4.2017,73,0.974,0.35
38528,9,1,Czech republic;Prague,20.11.2017,54,0.995,0.35
38529,8,3,Czech republic;Ostrava,25.6.2017,43,0.981,0.25
38530,5,5,Germany;Berlin,18.6.2017,26,0.98,0.25
38531,6,1,Czech republic;Prague,1.6.2017,187,0.974,0.6
38532,5,2,Denmark;Copenhagen,18.6.2017,185,0.98,0.6
38533,3,7,Germany;Frankfurt,3.2.2017,90,0.963,0.4
38534,10,3,Czech republic;Ostrava,13.3.2017,47,0.972,0.25
38535,7,7,Germany;Frankfurt,2.10.2017,84,0.99,0.4
38536,11,6,Germany;Dresden,14.6.2017,155,0.98,0.55
38537,3,5,Germany;Berlin,5.4.2017,159,0.968,0.55
38538,10,5,Germany;Berlin,24.10.2017,85,0.993,0.4
38539,9,6,Germany;Dresden,10.7.2017,58,0.981,0.35
38540,11,2,Denmark;Copenhagen,30.6.2017,31,0.978,0.25
38541,3,2,Denmark;Copenhagen,4.9.2017,55,0.989,0.35
38542,11,4,Germany;Frankfurt,31.3.2017,149,0.971,0.5
38543,3,7,Germany;Frankfurt,19.7.2017,16,0.984,0.05
38544,10,1,Czech republic;Prague,18.4.2017,44,0.975,0.25
38545,4,1,Czech republic;Prague,9.7.2017,191,0.981,0.6
38546,2,1,Czech republic;Prague,31.1.2017,30,0.959,0.25
38547,6,6,Germany;Dresden,26.9.2017,125,0.989,0.5
38548,5,1,Czech republic;Prague,29.11.2017,110,0.996,0.5
38549,8,4,Germany;Frankfurt,12.8.2017,104,0.983,0.5
38550,10,3,Czech republic;Ostrava,6.4.2017,41,0.969,0.25
38551,9,2,Denmark;Copenhagen,11.4.2017,27,0.968,0.25
38552,2,3,Czech republic;Brno,4.6.2017,40,0.976,0.25
38553,10,2,Denmark;Copenhagen,18.2.2017,194,0.969,0.6
38554,10,3,Czech republic;Ostrava,31.5.2017,79,0.974,0.4
38555,5,6,Germany;Dresden,23.6.2017,68,0.978,0.35
38556,3,1,Czech republic;Prague,2.10.2017,157,0.99,0.55
38557,1,5,Germany;Berlin,7.1.2017,81,0.961,0.4
38558,8,2,Denmark;Copenhagen,20.1.2017,62,0.957,0.35
38559,2,4,Germany;Frankfurt,10.2.2017,140,0.962,0.5
38560,11,4,Germany;Frankfurt,16.4.2017,26,0.97,0.25
38561,4,2,Denmark;Copenhagen,14.7.2017,32,0.981,0.25
38562,7,7,Germany;Frankfurt,17.3.2017,61,0.97,0.35
38563,11,7,Germany;Frankfurt,7.5.2017,48,0.977,0.25
38564,5,4,Germany;Frankfurt,22.10.2017,85,0.992,0.4
38565,10,3,Czech republic;Ostrava,5.8.2017,25,0.983,0.25
38566,10,3,Czech republic;Ostrava,23.1.2017,187,0.96,0.6
38567,8,4,Germany;Frankfurt,11.3.2017,178,0.968,0.6
38568,6,2,Denmark;Copenhagen,19.6.2017,66,0.981,0.35
38569,7,7,Germany;Frankfurt,11.3.2017,30,0.968,0.25
38570,4,5,Germany;Berlin,28.2.2017,198,0.97,0.6
38571,2,3,Czech republic;Brno,14.4.2017,54,0.972,0.35
38572,6,3,Czech republic;Brno,13.3.2017,105,0.972,0.5
38573,8,4,Germany;Frankfurt,1.9.2017,78,0.987,0.4
38574,9,4,Germany;Frankfurt,20.5.2017,41,0.976,0.25
38575,3,2,Denmark;Copenhagen,12.9.2017,79,0.987,0.4
38576,10,1,Czech republic;Prague,22.11.2017,71,0.996,0.35
38577,7,4,Germany;Frankfurt,19.6.2017,66,0.981,0.35
38578,11,1,Czech republic;Prague,29.4.2017,169,0.977,0.55
38579,5,4,Germany;Frankfurt,28.5.2017,88,0.972,0.4
38580,9,2,Denmark;Copenhagen,10.11.2017,36,0.994,0.25
38581,8,1,Czech republic;Prague,12.8.2017,141,0.983,0.5
38582,5,7,Germany;Frankfurt,13.9.2017,75,0.99,0.4
38583,4,4,Germany;Frankfurt,19.11.2017,144,0.995,0.5
38584,4,2,Denmark;Copenhagen,8.4.2017,95,0.974,0.4
38585,10,2,Denmark;Copenhagen,28.2.2017,51,0.97,0.35
38586,11,3,Czech republic;Ostrava,3.8.2017,73,0.984,0.35
38587,10,5,Germany;Berlin,8.2.2017,73,0.96,0.35
38588,4,6,Germany;Dresden,13.4.2017,26,0.973,0.25
38589,8,3,Czech republic;Ostrava,26.12.2017,56,0.999,0.35
38590,10,5,Germany;Berlin,28.7.2017,82,0.98,0.4
38591,7,7,Germany;Frankfurt,14.8.2017,77,0.985,0.4
38592,3,7,Germany;Frankfurt,18.1.2017,120,0.966,0.5
38593,10,5,Germany;Berlin,14.5.2017,78,0.973,0.4
38594,8,2,Denmark;Copenhagen,12.1.2017,63,0.962,0.35
38595,8,3,Czech republic;Ostrava,29.3.2017,50,0.97,0.35
38596,8,4,Germany;Frankfurt,11.2.2017,33,0.96,0.25
38597,3,2,Denmark;Copenhagen,12.3.2017,42,0.969,0.25
38598,8,1,Czech republic;Prague,15.12.2017,48,0.998,0.25
38599,1,2,Denmark;Copenhagen,4.2.2017,70,0.964,0.35
38600,5,4,Germany;Frankfurt,9.2.2017,115,0.96,0.5
38601,3,1,Czech republic;Prague,17.11.2017,117,0.995,0.5
38602,3,5,Germany;Berlin,27.9.2017,39,0.989,0.25
38603,10,5,Germany;Berlin,11.12.2017,64,0.997,0.35
38604,1,5,Germany;Berlin,5.6.2017,30,0.978,0.25
38605,9,2,Denmark;Copenhagen,1.12.2017,115,0.995,0.5
38606,1,6,Germany;Dresden,22.4.2017,40,0.976,0.25
38607,5,7,Germany;Frankfurt,22.12.2017,33,0.999,0.25
38608,8,1,Czech republic;Prague,15.10.2017,41,0.992,0.25
38609,4,1,Czech republic;Prague,20.6.2017,53,0.977,0.35
38610,7,3,Czech republic;Ostrava,16.5.2017,29,0.973,0.25
38611,11,6,Germany;Dresden,2.10.2017,50,0.99,0.35
38612,11,7,Germany;Frankfurt,19.8.2017,195,0.985,0.6
38613,6,2,Denmark;Copenhagen,19.2.2017,74,0.968,0.35
38614,2,5,Germany;Berlin,17.3.2017,196,0.97,0.6
38615,2,1,Czech republic;Prague,16.4.2017,100,0.97,0.5
38616,10,2,Denmark;Copenhagen,4.11.2017,53,0.993,0.35
38617,9,4,Germany;Frankfurt,15.7.2017,66,0.982,0.35
38618,2,6,Germany;Dresden,6.5.2017,91,0.976,0.4
38619,3,7,Germany;Frankfurt,27.7.2017,72,0.982,0.35
38620,4,7,Germany;Frankfurt,27.7.2017,82,0.982,0.4
38621,7,2,Denmark;Copenhagen,4.12.2017,18,0.997,0.05
38622,7,5,Germany;Berlin,8.4.2017,104,0.974,0.5
38623,11,1,Czech republic;Prague,19.4.2017,172,0.976,0.55
38624,10,6,Germany;Dresden,12.1.2017,29,0.962,0.25
38625,1,5,Germany;Berlin,2.11.2017,31,0.994,0.25
38626,10,2,Denmark;Copenhagen,4.7.2017,26,0.98,0.25
38627,11,3,Czech republic;Ostrava,17.5.2017,126,0.972,0.5
38628,9,6,Germany;Dresden,28.8.2017,75,0.984,0.4
38629,6,4,Germany;Frankfurt,23.4.2017,69,0.973,0.35
38630,2,1,Czech republic;Prague,5.3.2017,32,0.962,0.25
38631,2,3,Czech republic;Brno,7.12.2017,62,0.997,0.35
38632,3,6,Germany;Dresden,6.4.2017,48,0.969,0.25
38633,8,6,Germany;Dresden,11.8.2017,140,0.986,0.5
38634,3,6,Germany;Dresden,12.8.2017,49,0.983,0.25
38635,2,3,Czech republic;Brno,7.9.2017,188,0.986,0.6
38636,7,4,Germany;Frankfurt,22.5.2017,45,0.975,0.25
38637,7,4,Germany;Frankfurt,17.3.2017,75,0.97,0.4
38638,8,3,Czech republic;Ostrava,13.11.2017,63,0.995,0.35
38639,10,3,Czech republic;Ostrava,13.8.2017,36,0.982,0.25
38640,6,2,Denmark;Copenhagen,12.1.2017,43,0.962,0.25
38641,4,4,Germany;Frankfurt,22.4.2017,27,0.976,0.25
38642,7,4,Germany;Frankfurt,27.6.2017,46,0.98,0.25
38643,4,6,Germany;Dresden,25.7.2017,65,0.981,0.35
38644,6,4,Germany;Frankfurt,2.9.2017,93,0.986,0.4
38645,11,7,Germany;Frankfurt,25.4.2017,72,0.975,0.35
38646,1,2,Denmark;Copenhagen,7.1.2017,64,0.961,0.35
38647,4,7,Germany;Frankfurt,21.7.2017,43,0.98,0.25
38648,9,7,Germany;Frankfurt,8.6.2017,37,0.978,0.25
38649,5,3,Czech republic;Brno,13.9.2017,93,0.99,0.4
38650,6,6,Germany;Dresden,2.11.2017,171,0.994,0.55
38651,11,3,Czech republic;Ostrava,24.7.2017,45,0.981,0.25
38652,5,6,Germany;Dresden,29.5.2017,90,0.974,0.4
38653,4,3,Czech republic;Brno,8.4.2017,26,0.974,0.25
38654,1,5,Germany;Berlin,1.4.2017,44,0.971,0.25
38655,4,1,Czech republic;Prague,25.11.2017,38,0.995,0.25
38656,7,6,Germany;Dresden,19.9.2017,47,0.987,0.25
38657,7,3,Czech republic;Ostrava,25.6.2017,107,0.981,0.5
38658,5,1,Czech republic;Prague,23.2.2017,55,0.965,0.35
38659,7,2,Denmark;Copenhagen,9.11.2017,200,0.994,0.6
38660,3,2,Denmark;Copenhagen,18.12.2017,29,0.998,0.25
38661,3,6,Germany;Dresden,11.4.2017,74,0.968,0.35
38662,5,5,Germany;Berlin,23.11.2017,34,0.996,0.25
38663,3,1,Czech republic;Prague,28.11.2017,37,0.996,0.25
38664,9,6,Germany;Dresden,9.10.2017,57,0.992,0.35
38665,1,7,Germany;Frankfurt,6.12.2017,105,0.997,0.5
38666,8,5,Germany;Berlin,24.9.2017,90,0.99,0.4
38667,11,1,Czech republic;Prague,8.10.2017,50,0.991,0.35
38668,9,7,Germany;Frankfurt,21.1.2017,97,0.964,0.4
38669,4,5,Germany;Berlin,13.7.2017,28,0.979,0.25
38670,1,5,Germany;Berlin,3.6.2017,40,0.977,0.25
38671,5,3,Czech republic;Brno,28.11.2017,186,0.996,0.6
38672,2,3,Czech republic;Brno,17.3.2017,49,0.97,0.25
38673,2,3,Czech republic;Brno,17.9.2017,81,0.987,0.4
38674,4,6,Germany;Dresden,5.8.2017,62,0.983,0.35
38675,1,4,Germany;Frankfurt,12.6.2017,95,0.981,0.4
38676,9,3,Czech republic;Ostrava,10.3.2017,191,0.964,0.6
38677,2,4,Germany;Frankfurt,7.1.2017,93,0.961,0.4
38678,2,4,Germany;Frankfurt,14.3.2017,60,0.964,0.35
38679,5,7,Germany;Frankfurt,28.7.2017,71,0.98,0.35
38680,2,2,Denmark;Copenhagen,17.6.2017,80,0.981,0.4
38681,2,1,Czech republic;Prague,27.2.2017,67,0.969,0.35
38682,11,3,Czech republic;Ostrava,19.1.2017,55,0.967,0.35
38683,4,7,Germany;Frankfurt,29.11.2017,139,0.996,0.5
38684,9,4,Germany;Frankfurt,5.9.2017,34,0.988,0.25
38685,1,6,Germany;Dresden,14.4.2017,43,0.972,0.25
38686,9,4,Germany;Frankfurt,13.11.2017,35,0.995,0.25
38687,11,7,Germany;Frankfurt,23.6.2017,74,0.978,0.35
38688,7,1,Czech republic;Prague,2.2.2017,63,0.961,0.35
38689,9,7,Germany;Frankfurt,25.7.2017,47,0.981,0.25
38690,3,2,Denmark;Copenhagen,20.7.2017,44,0.984,0.25
38691,3,1,Czech republic;Prague,1.5.2017,62,0.971,0.35
38692,4,6,Germany;Dresden,31.12.2017,44,0.999,0.25
38693,5,3,Czech republic;Brno,26.7.2017,3,0.98,0
38694,10,4,Germany;Frankfurt,29.12.2017,34,0.999,0.25
38695,5,1,Czech republic;Prague,22.9.2017,107,0.989,0.5
38696,8,5,Germany;Berlin,24.9.2017,97,0.99,0.4
38697,6,2,Denmark;Copenhagen,2.5.2017,26,0.969,0.25
38698,11,1,Czech republic;Prague,22.11.2017,143,0.996,0.5
38699,4,5,Germany;Berlin,15.11.2017,77,0.995,0.4
38700,7,4,Germany;Frankfurt,14.4.2017,86,0.972,0.4
38701,8,5,Germany;Berlin,1.8.2017,30,0.984,0.25
38702,4,4,Germany;Frankfurt,1.8.2017,7,0.984,0
38703,10,5,Germany;Berlin,15.9.2017,42,0.989,0.25
38704,1,5,Germany;Berlin,29.5.2017,145,0.974,0.5
38705,11,2,Denmark;Copenhagen,27.3.2017,88,0.97,0.4
38706,10,2,Denmark;Copenhagen,20.3.2017,46,0.968,0.25
38707,9,3,Czech republic;Ostrava,24.12.2017,36,0.999,0.25
38708,4,6,Germany;Dresden,8.9.2017,13,0.988,0.05
38709,9,3,Czech republic;Ostrava,10.6.2017,34,0.981,0.25
38710,3,1,Czech republic;Prague,16.2.2017,105,0.97,0.5
38711,6,2,Denmark;Copenhagen,11.11.2017,21,0.993,0.2
38712,6,3,Czech republic;Brno,13.12.2017,62,0.998,0.35
38713,3,1,Czech republic;Prague,11.11.2017,10,0.993,0.05
38714,4,2,Denmark;Copenhagen,23.1.2017,25,0.96,0.25
38715,7,3,Czech republic;Ostrava,20.5.2017,74,0.976,0.35
38716,8,4,Germany;Frankfurt,18.3.2017,92,0.97,0.4
38717,4,7,Germany;Frankfurt,22.4.2017,48,0.976,0.25
38718,1,1,Czech republic;Prague,29.6.2017,35,0.978,0.25
38719,6,6,Germany;Dresden,21.3.2017,47,0.973,0.25
38720,7,3,Czech republic;Ostrava,19.9.2017,154,0.987,0.55
38721,7,4,Germany;Frankfurt,7.7.2017,100,0.984,0.5
38722,8,4,Germany;Frankfurt,7.11.2017,83,0.993,0.4
38723,4,5,Germany;Berlin,29.4.2017,25,0.977,0.25
38724,3,3,Czech republic;Brno,8.9.2017,107,0.988,0.5
38725,1,2,Denmark;Copenhagen,12.7.2017,72,0.979,0.35
38726,11,3,Czech republic;Ostrava,17.7.2017,112,0.983,0.5
38727,2,5,Germany;Berlin,11.5.2017,28,0.977,0.25
38728,3,4,Germany;Frankfurt,12.6.2017,70,0.981,0.35
38729,4,6,Germany;Dresden,3.5.2017,34,0.972,0.25
38730,8,5,Germany;Berlin,14.11.2017,74,0.994,0.35
38731,4,6,Germany;Dresden,1.10.2017,68,0.99,0.35
38732,9,3,Czech republic;Ostrava,30.11.2017,72,0.996,0.35
38733,11,4,Germany;Frankfurt,10.2.2017,138,0.962,0.5
38734,7,6,Germany;Dresden,3.11.2017,31,0.994,0.25
38735,6,3,Czech republic;Brno,8.8.2017,142,0.984,0.5
38736,6,5,Germany;Berlin,3.4.2017,67,0.974,0.35
38737,9,2,Denmark;Copenhagen,17.3.2017,84,0.97,0.4
38738,7,4,Germany;Frankfurt,1.9.2017,130,0.987,0.5
38739,6,5,Germany;Berlin,19.1.2017,98,0.967,0.4
38740,1,1,Czech republic;Prague,16.7.2017,33,0.982,0.25
38741,7,3,Czech republic;Ostrava,27.1.2017,72,0.966,0.35
38742,7,7,Germany;Frankfurt,16.9.2017,39,0.989,0.25
38743,4,2,Denmark;Copenhagen,19.6.2017,34,0.981,0.25
38744,8,5,Germany;Berlin,9.5.2017,36,0.973,0.25
38745,9,7,Germany;Frankfurt,18.7.2017,84,0.98,0.4
38746,11,7,Germany;Frankfurt,11.10.2017,7,0.99,0
38747,7,2,Denmark;Copenhagen,26.3.2017,44,0.973,0.25
38748,3,3,Czech republic;Brno,9.10.2017,74,0.992,0.35
